engine_size,horsepower,age,mileage,price
1.0,70,10,120000,15000
1.2,80,8,100000,18000
1.4,90,7,90000,20000
1.6,110,5,70000,25000
2.0,150,3,50000,32000
2.5,180,2,30000,40000
3.0,220,1,20000,50000
1.1,75,9,110000,16000
1.3,85,8,95000,19000
1.5,100,6,80000,23000
1.8,130,4,60000,28000
2.2,160,3,45000,35000
2.8,200,2,25000,45000
3.2,240,1,15000,55000
1.0,65,11,130000,14000
1.2,78,9,105000,17500
1.4,88,7,88000,21000
1.6,105,6,75000,24000
2.0,140,4,55000,31000
2.4,170,3,40000,37000
3.0,210,2,22000,48000
1.1,72,10,115000,15500
1.3,82,8,97000,18500
1.5,98,6,82000,22500
1.8,125,5,65000,27000
2.2,155,3,48000,34000
2.6,190,2,30000,43000
3.1,230,1,18000,52000
1.0,68,10,125000,14500
1.2,79,9,102000,17800
1.4,92,7,89000,20500
1.6,108,5,72000,25500
2.0,145,4,58000,31500
2.3,165,3,42000,36500
2.9,205,2,26000,47000
3.3,245,1,14000,56000
1.1,74,9,112000,15800
1.3,84,8,96000,18800
1.5,102,6,81000,23500
1.8,128,5,63000,27500
2.1,150,4,57000,30000
2.5,175,3,41000,38000
2.7,195,2,28000,44000
3.0,215,1,17000,51000
