Trip ID,Destination,Country,Travel Date,Return Date,Trip Duration (Days),Cost (USD),Accommodation Type,Transportation Mode,Group Size,Purpose of Travel,Satisfaction Score (1-5),Activities Included,Booking Source,Season,Traveler Age,Gender,Income Level,Recommendation Score (%),Travel Insurance,Weather Rating (1-5)
82e2e662-f728-44fa-8248-5e3a0a5d2f34,Singapore,Singapore,2025-01-03,2025-01-13,10,2798,Resort,Car,2,Honeymoon,3,4,Online,Winter,29,Female,Upper-Middle,83,No,2
4da5e709-d471-4d60-88a7-0639eb1167b3,Dubai,UAE,2025-01-03,2025-01-12,9,2792,Resort,Plane,10,Cultural,4,6,Direct Booking,Summer,64,Male,Low,78,Yes,5
37ebdcd9-e87a-4613-a443-df789558867f,Tokyo,Japan,2025-01-03,2025-01-11,8,3340,Camping,Plane,9,Cultural,4,7,Travel Agency,Winter,31,Female,Low,85,Yes,3
1846d424-c17c-4279-a3c6-612f48268673,Rome,Italy,2025-01-04,2025-01-07,3,3398,Hostel,Ship,9,Business,2,2,Direct Booking,Summer,18,Male,Middle,57,Yes,5
fb97d435-8856-4712-a8e5-216afcbd04c3,New York,USA,2025-01-04,2025-01-10,6,3296,Hostel,Ship,7,Adventure,1,6,Direct Booking,Summer,65,Male,High,21,Yes,1
12e0c8b2-bad6-40fb-9948-8dec4f65d4d9,Bangkok,Thailand,2025-01-04,2025-01-07,3,1161,Camping,Bus,8,Honeymoon,4,4,Online,Summer,40,Male,Middle,76,Yes,1
6f25e2a2-5a92-4187-99c7-8df48f4ff31e,Sydney,Australia,2025-01-03,2025-01-14,11,1518,Resort,Train,1,Honeymoon,1,1,Direct Booking,Autumn,38,Female,Upper-Middle,42,Yes,4
f77383c1-3458-4748-a9bb-17bca3f2c9bf,Dubai,UAE,2025-01-02,2025-01-16,14,1878,Hotel,Plane,4,Honeymoon,2,2,Direct Booking,Autumn,43,Male,Middle,57,Yes,4
42af9fc3-8577-4e9a-9d84-f39e71545a13,Singapore,Singapore,2025-01-04,2025-01-15,11,2771,Resort,Train,2,Honeymoon,5,2,Online,Autumn,66,Female,Upper-Middle,76,No,1
b83e90ec-17e0-4a3c-8398-3ca8ea7e9d49,Singapore,Singapore,2025-01-01,2025-01-14,13,3804,Airbnb,Bus,7,Cultural,5,1,Travel Agency,Spring,36,Male,Middle,97,Yes,5
7e5b1e7f-9ca5-499d-804a-e545a0116be5,Singapore,Singapore,2025-01-03,2025-01-19,16,1997,Camping,Train,3,Cultural,2,2,Online,Summer,19,Female,Middle,60,No,2
ded733e8-b421-4aeb-9340-97cabaf3897a,New York,USA,2025-01-03,2025-01-08,5,1662,Hostel,Bus,2,Vacation,5,3,Online,Winter,50,Male,Middle,83,Yes,1
3d15eef7-38c1-462e-9148-624feac1c14f,Sydney,Australia,2025-01-01,2025-01-05,4,2414,Airbnb,Train,10,Vacation,4,2,Travel Agency,Spring,66,Female,Low,58,Yes,1
fe43c49e-1498-48d1-9759-edc372ae2244,Rome,Italy,2025-01-01,2025-01-14,13,3510,Hotel,Train,9,Vacation,1,5,Online,Autumn,26,Female,Middle,17,No,4
1beb3711-7d41-4602-aece-328bff7b118e,Tokyo,Japan,2025-01-02,2025-01-14,12,2349,Camping,Train,9,Adventure,5,5,Travel Agency,Autumn,69,Male,Low,80,No,2
8c25166a-1ff3-4849-b4e1-357d4a84eb03,Dubai,UAE,2025-01-02,2025-01-15,13,4571,Camping,Car,1,Vacation,1,5,Direct Booking,Winter,26,Male,Middle,19,No,4
9a6a5f92-cca7-4147-b6be-1f723405095c,Rome,Italy,2025-01-03,2025-01-16,13,3678,Hotel,Car,2,Vacation,2,2,Travel Agency,Spring,21,Female,Middle,57,Yes,2
98a6416d-1775-436d-b1ea-cd0549a3e80e,Dubai,UAE,2025-01-04,2025-01-18,14,2757,Resort,Train,5,Vacation,5,1,Online,Summer,31,Male,Middle,101,Yes,2
2f120554-4a53-48cc-bdfa-bc08935ddd72,New York,USA,2025-01-03,2025-01-10,7,1497,Resort,Bus,8,Adventure,2,4,Online,Winter,56,Male,Low,41,No,5
a81ad477-fb36-45b8-9cde-b3e60870e15c,Singapore,Singapore,2025-01-02,2025-01-06,4,2836,Airbnb,Car,7,Honeymoon,4,3,Online,Winter,62,Female,Middle,60,Yes,5
c1f254b8-adc0-4a7a-96fe-baa011af923d,Singapore,Singapore,2025-01-02,2025-01-13,11,4712,Resort,Ship,6,Cultural,3,4,Travel Agency,Autumn,47,Male,Middle,39,No,2
148b2758-d7ab-4928-89e4-69e6ec62b2c8,Tokyo,Japan,2025-01-01,2025-01-04,3,3762,Airbnb,Plane,7,Adventure,1,4,Travel Agency,Spring,28,Male,Low,42,Yes,1
468ff53d-864a-4a50-b48d-73f1d67e55fd,Dubai,UAE,2025-01-04,2025-01-13,9,1593,Camping,Plane,1,Cultural,2,2,Online,Autumn,33,Male,Middle,55,Yes,1
adf20806-e521-4606-b717-6e84d977e993,New York,USA,2025-01-04,2025-01-09,5,4118,Airbnb,Train,6,Honeymoon,3,5,Direct Booking,Spring,48,Male,Upper-Middle,35,Yes,5
7e1ea9c5-7358-4a81-8674-37419466e472,Sydney,Australia,2025-01-04,2025-01-14,10,2227,Airbnb,Car,2,Vacation,5,7,Travel Agency,Autumn,52,Male,High,95,Yes,2
1d878f9f-9cdf-4a86-9306-f3f515166570,New York,USA,2025-01-04,2025-01-12,8,2741,Hostel,Train,2,Business,3,4,Travel Agency,Winter,58,Male,Low,41,Yes,2
